iter	Passed	Remaining
0	75	75764
1	90	44988
2	103	34423
3	115	28824
4	129	25725
5	140	23197
6	152	21644
7	165	20565
8	176	19484
9	189	18748
10	202	18189
11	214	17663
12	227	17272
13	238	16794
14	250	16457
15	264	16246
16	276	16000
17	289	15817
18	303	15690
19	315	15461
20	328	15305
21	340	15133
22	353	15035
23	367	14935
24	378	14751
25	391	14682
26	403	14541
27	416	14467
28	429	14370
29	442	14320
30	454	14219
31	468	14175
32	480	14088
33	494	14037
34	505	13949
35	519	13918
36	533	13892
37	548	13874
38	561	13836
39	573	13756
40	585	13695
41	600	13690
42	611	13613
43	624	13569
44	637	13539
45	650	13498
46	664	13483
47	678	13451
48	690	13404
49	704	13387
50	717	13358
51	731	13333
52	744	13305
53	761	13335
54	772	13275
55	785	13234
56	798	13203
57	809	13146
58	822	13116
59	836	13112
60	855	13170
61	868	13142
62	883	13138
63	895	13097
64	907	13060
65	922	13061
66	936	13046
67	950	13021
68	964	13011
69	976	12969
70	990	12962
71	1003	12935
72	1016	12914
73	1030	12897
74	1045	12890
75	1057	12851
76	1070	12830
77	1083	12807
78	1099	12819
79	1118	12858
80	1137	12902
81	1151	12886
82	1167	12904
83	1183	12910
84	1199	12910
85	1215	12920
86	1229	12900
87	1243	12885
88	1259	12888
89	1273	12872
90	1289	12882
91	1302	12851
92	1316	12842
93	1329	12809
94	1342	12785
95	1356	12774
96	1368	12736
97	1384	12741
98	1399	12734
99	1415	12735
100	1428	12713
101	1441	12693
102	1456	12687
103	1469	12660
104	1484	12652
105	1497	12627
106	1510	12608
107	1528	12625
108	1544	12621
109	1557	12605
110	1573	12605
111	1594	12638
112	1610	12639
113	1623	12618
114	1636	12592
115	1652	12593
116	1664	12560
117	1677	12538
118	1694	12545
119	1709	12537
120	1722	12514
121	1735	12490
122	1750	12482
123	1763	12457
124	1777	12445
125	1790	12417
126	1802	12390
127	1817	12380
128	1828	12346
129	1842	12328
130	1855	12307
131	1867	12278
132	1880	12260
133	1894	12243
134	1907	12221
135	1921	12206
136	1932	12176
137	1948	12170
138	1961	12150
139	1974	12131
140	1988	12113
141	2001	12095
142	2016	12082
143	2028	12055
144	2042	12041
145	2056	12026
146	2068	12002
147	2082	11990
148	2095	11968
149	2110	11957
150	2122	11935
151	2135	11913
152	2151	11909
153	2163	11886
154	2178	11875
155	2190	11853
156	2204	11835
157	2217	11818
158	2231	11800
159	2244	11783
160	2257	11764
161	2271	11748
162	2283	11725
163	2298	11717
164	2311	11699
165	2324	11677
166	2339	11667
167	2354	11657
168	2368	11645
169	2383	11639
170	2400	11637
171	2415	11627
172	2429	11614
173	2443	11601
174	2455	11576
175	2469	11559
176	2483	11547
177	2496	11529
178	2512	11522
179	2525	11506
180	2541	11497
181	2554	11479
182	2568	11468
183	2582	11454
184	2598	11447
185	2610	11425
186	2623	11407
187	2638	11395
188	2652	11383
189	2670	11384
190	2683	11366
191	2699	11358
192	2712	11342
193	2728	11334
194	2742	11321
195	2754	11300
196	2771	11297
197	2784	11279
198	2799	11269
199	2814	11257
200	2832	11258
201	2845	11242
202	2859	11226
203	2874	11214
204	2887	11199
205	2902	11188
206	2915	11167
207	2930	11159
208	2943	11141
209	2961	11139
210	2975	11126
211	2988	11109
212	3002	11092
213	3014	11072
214	3029	11061
215	3041	11039
216	3056	11028
217	3068	11006
218	3080	10984
219	3093	10969
220	3107	10953
221	3124	10949
222	3139	10938
223	3155	10930
224	3168	10915
225	3183	10902
226	3198	10891
227	3213	10879
228	3229	10874
229	3242	10856
230	3258	10848
231	3272	10833
232	3289	10828
233	3303	10815
234	3318	10804
235	3334	10795
236	3348	10780
237	3365	10775
238	3381	10767
239	3400	10767
240	3414	10753
241	3430	10745
242	3445	10731
243	3459	10719
244	3473	10703
245	3491	10701
246	3507	10691
247	3523	10684
248	3536	10664
249	3549	10649
250	3561	10628
251	3575	10613
252	3589	10597
253	3601	10578
254	3616	10565
255	3628	10545
256	3644	10536
257	3659	10523
258	3673	10508
259	3687	10496
260	3701	10481
261	3717	10471
262	3731	10458
263	3747	10448
264	3762	10435
265	3779	10428
266	3794	10416
267	3811	10411
268	3828	10403
269	3844	10395
270	3858	10379
271	3877	10376
272	3892	10366
273	3911	10364
274	3926	10352
275	3942	10342
276	3960	10336
277	3977	10330
278	3992	10318
279	4010	10313
280	4026	10301
281	4041	10288
282	4058	10282
283	4073	10270
284	4091	10264
285	4107	10253
286	4123	10244
287	4139	10233
288	4161	10237
289	4177	10228
290	4193	10216
291	4208	10204
292	4221	10187
293	4237	10174
294	4251	10160
295	4263	10139
296	4279	10128
297	4292	10110
298	4304	10092
299	4320	10080
300	4334	10066
301	4351	10057
302	4364	10040
303	4382	10034
304	4399	10025
305	4416	10016
306	4431	10003
307	4448	9995
308	4461	9977
309	4478	9969
310	4493	9955
311	4511	9949
312	4526	9935
313	4543	9925
314	4559	9914
315	4577	9907
316	4594	9900
317	4614	9896
318	4631	9886
319	4651	9883
320	4669	9876
321	4688	9872
322	4706	9865
323	4721	9850
324	4735	9835
325	4751	9822
326	4766	9810
327	4784	9801
328	4796	9783
329	4814	9774
330	4827	9757
331	4841	9742
332	4854	9724
333	4869	9710
334	4884	9696
335	4900	9683
336	4913	9666
337	4928	9652
338	4943	9638
339	4959	9627
340	4981	9627
341	4996	9612
342	5013	9602
343	5030	9593
344	5046	9580
345	5061	9566
346	5076	9552
347	5092	9540
348	5108	9529
349	5124	9516
350	5140	9505
351	5154	9488
352	5169	9475
353	5183	9458
354	5198	9445
355	5212	9428
356	5226	9413
357	5241	9399
358	5254	9382
359	5270	9369
360	5281	9349
361	5294	9331
362	5307	9314
363	5320	9295
364	5336	9284
365	5349	9267
366	5367	9257
367	5383	9245
368	5398	9232
369	5414	9219
370	5431	9209
371	5445	9193
372	5463	9184
373	5481	9174
374	5496	9161
375	5508	9142
376	5522	9126
377	5536	9110
378	5549	9093
379	5565	9080
380	5579	9064
381	5596	9053
382	5612	9041
383	5628	9029
384	5643	9015
385	5661	9005
386	5674	8987
387	5687	8970
388	5700	8953
389	5712	8935
390	5726	8919
391	5738	8900
392	5751	8883
393	5766	8868
394	5779	8851
395	5795	8839
396	5807	8820
397	5820	8803
398	5835	8789
399	5922	8883
400	5983	8937
401	6049	8998
402	6076	9001
403	6114	9020
404	6148	9032
405	6177	9038
406	6200	9033
407	6224	9031
408	6245	9025
409	6268	9020
410	6291	9015
411	6333	9039
412	6376	9062
413	6446	9124
414	6468	9117
415	6484	9103
416	6509	9100
417	6530	9092
418	6550	9082
419	6576	9081
420	6596	9071
421	6610	9054
422	6627	9040
423	6644	9026
424	6662	9014
425	6679	9000
426	6696	8986
427	6710	8968
428	6730	8958
429	6744	8940
430	6763	8928
431	6786	8922
432	6806	8912
433	6928	9035
434	6954	9032
435	6982	9031
436	7009	9030
437	7030	9020
438	7061	9023
439	7089	9023
440	7116	9021
441	7134	9006
442	7149	8989
443	7165	8973
444	7180	8955
445	7195	8938
446	7210	8919
447	7226	8904
448	7240	8885
449	7257	8870
450	7271	8851
451	7292	8840
452	7304	8820
453	7322	8806
454	7339	8790
455	7359	8779
456	7374	8761
457	7389	8745
458	7405	8728
459	7424	8715
460	7444	8704
461	7462	8690
462	7485	8682
463	7501	8665
464	7518	8649
465	7531	8630
466	7548	8615
467	7567	8602
468	7583	8585
469	7596	8566
470	7611	8549
471	7630	8536
472	7646	8519
473	7660	8501
474	7676	8484
475	7689	8465
476	7704	8447
477	7727	8438
478	7745	8425
479	7762	8409
480	7778	8392
481	7797	8379
482	7813	8363
483	7826	8344
484	7850	8335
485	7931	8388
486	7965	8390
487	7987	8380
488	8014	8375
489	8034	8362
490	8050	8345
491	8062	8324
492	8077	8307
493	8089	8286
494	8101	8265
495	8120	8251
496	8136	8234
497	8151	8216
498	8163	8195
499	8178	8178
500	8192	8159
501	8206	8141
502	8230	8132
503	8246	8115
504	8259	8095
505	8273	8077
506	8289	8060
507	8302	8040
508	8315	8021
509	8328	8001
510	8344	7984
511	8355	7964
512	8370	7945
513	8382	7925
514	8395	7906
515	8409	7887
516	8433	7878
517	8454	7866
518	8476	7855
519	8496	7842
520	8516	7829
521	8536	7817
522	8559	7806
523	8579	7793
524	8598	7779
525	8610	7759
526	8625	7741
527	8640	7723
528	8653	7704
529	8667	7686
530	8679	7666
531	8691	7646
532	8706	7628
533	8718	7608
534	8741	7598
535	8763	7586
536	8778	7568
537	8789	7547
538	8802	7528
539	8815	7509
540	8836	7497
541	8849	7478
542	8863	7459
543	8875	7439
544	8888	7420
545	8902	7402
546	8913	7382
547	8927	7363
548	8939	7343
549	8951	7324
550	8965	7305
551	8977	7286
552	8990	7267
553	9004	7248
554	9016	7229
555	9030	7211
556	9044	7193
557	9070	7185
558	9095	7175
559	9115	7162
560	9130	7145
561	9143	7126
562	9158	7108
563	9169	7088
564	9183	7070
565	9196	7051
566	9207	7031
567	9220	7012
568	9234	6994
569	9245	6974
570	9257	6955
571	9271	6937
572	9284	6918
573	9300	6902
574	9313	6883
575	9327	6866
576	9338	6846
577	9355	6830
578	9367	6811
579	9379	6792
580	9391	6773
581	9402	6753
582	9415	6734
583	9427	6715
584	9439	6696
585	9452	6678
586	9467	6661
587	9485	6646
588	9501	6629
589	9514	6612
590	9528	6594
591	9544	6578
592	9559	6561
593	9573	6543
594	9586	6524
595	9597	6505
596	9608	6486
597	9621	6467
598	9635	6450
599	9647	6431
600	9660	6413
601	9671	6394
602	9685	6376
603	9696	6357
604	9708	6338
605	9721	6320
606	9733	6301
607	9745	6283
608	9758	6265
609	9769	6246
610	9781	6227
611	9793	6208
612	9804	6190
613	9818	6172
614	9830	6154
615	9842	6135
616	9857	6118
617	9868	6099
618	9885	6084
619	9899	6067
620	9911	6049
621	9923	6030
622	9934	6011
623	9948	5994
624	9959	5975
625	9970	5956
626	9985	5940
627	9997	5921
628	10012	5905
629	10028	5889
630	10040	5871
631	10056	5855
632	10069	5838
633	10084	5821
634	10096	5803
635	10109	5785
636	10124	5769
637	10135	5750
638	10150	5734
639	10165	5717
640	10180	5701
641	10198	5686
642	10213	5670
643	10228	5654
644	10244	5638
645	10260	5622
646	10275	5606
647	10292	5591
648	10310	5576
649	10329	5562
650	10350	5548
651	10367	5533
652	10385	5518
653	10398	5501
654	10414	5485
655	10429	5469
656	10445	5453
657	10460	5436
658	10472	5419
659	10489	5403
660	10503	5386
661	10520	5371
662	10534	5354
663	10549	5338
664	10562	5321
665	10576	5304
666	10590	5287
667	10602	5269
668	10618	5253
669	10630	5236
670	10648	5221
671	10663	5204
672	10685	5192
673	10701	5175
674	10718	5160
675	10780	5166
676	10823	5164
677	10840	5148
678	10857	5132
679	10871	5116
680	10884	5098
681	10901	5083
682	10915	5066
683	10931	5050
684	10943	5032
685	10958	5016
686	10974	5000
687	10991	4984
688	11005	4967
689	11021	4951
690	11033	4934
691	11047	4917
692	11063	4901
693	11076	4883
694	11091	4867
695	11106	4851
696	11119	4834
697	11134	4817
698	11148	4800
699	11164	4784
700	11178	4768
701	11194	4752
702	11207	4735
703	11223	4718
704	11237	4702
705	11253	4686
706	11266	4669
707	11287	4655
708	11301	4638
709	11317	4622
710	11329	4604
711	11343	4588
712	11361	4573
713	11374	4556
714	11389	4540
715	11402	4522
716	11418	4507
717	11433	4490
718	11445	4473
719	11459	4456
720	11472	4439
721	11484	4421
722	11496	4404
723	11509	4387
724	11522	4370
725	11534	4353
726	11547	4336
727	11563	4320
728	11577	4303
729	11591	4287
730	11604	4270
731	11617	4253
732	11631	4236
733	11647	4220
734	11660	4204
735	11674	4187
736	11688	4171
737	11702	4154
738	11717	4138
739	11731	4121
740	11746	4105
741	11759	4088
742	11771	4071
743	11787	4056
744	11801	4039
745	11815	4022
746	11827	4005
747	11842	3989
748	11856	3973
749	11869	3956
750	11883	3940
751	11895	3922
752	11909	3906
753	11922	3889
754	11935	3873
755	11951	3857
756	11964	3840
757	11977	3823
758	11992	3807
759	12006	3791
760	12021	3775
761	12037	3759
762	12054	3744
763	12067	3727
764	12082	3711
765	12094	3694
766	12110	3678
767	12125	3663
768	12139	3646
769	12156	3631
770	12169	3614
771	12186	3599
772	12198	3582
773	12213	3566
774	12227	3549
775	12242	3533
776	12258	3518
777	12273	3502
778	12289	3486
779	12302	3469
780	12315	3453
781	12329	3437
782	12344	3421
783	12358	3404
784	12372	3388
785	12386	3372
786	12399	3355
787	12414	3339
788	12426	3323
789	12439	3306
790	12454	3290
791	12466	3273
792	12481	3258
793	12495	3241
794	12511	3226
795	12524	3209
796	12536	3193
797	12551	3177
798	12564	3160
799	12579	3144
800	12592	3128
801	12606	3112
802	12620	3096
803	12633	3079
804	12647	3063
805	12662	3047
806	12677	3032
807	12690	3015
808	12705	2999
809	12720	2983
810	12733	2967
811	12750	2952
812	12763	2935
813	12780	2920
814	12794	2904
815	12809	2888
816	12821	2871
817	12835	2855
818	12850	2840
819	12863	2823
820	12879	2808
821	12892	2791
822	12909	2776
823	12920	2759
824	12934	2743
825	12949	2727
826	12961	2711
827	12976	2695
828	12990	2679
829	13004	2663
830	13019	2647
831	13032	2631
832	13051	2616
833	13064	2600
834	13082	2585
835	13116	2573
836	13131	2557
837	13149	2541
838	13162	2525
839	13178	2510
840	13191	2493
841	13209	2478
842	13223	2462
843	13236	2446
844	13253	2431
845	13269	2415
846	13283	2399
847	13299	2383
848	13315	2368
849	13329	2352
850	13344	2336
851	13356	2320
852	13369	2304
853	13385	2288
854	13399	2272
855	13415	2256
856	13426	2240
857	13440	2224
858	13452	2208
859	13463	2191
860	13479	2176
861	13490	2159
862	13504	2143
863	13529	2129
864	13543	2113
865	13554	2097
866	13567	2081
867	13580	2065
868	13591	2048
869	13605	2033
870	13617	2016
871	13629	2000
872	13643	1984
873	13655	1968
874	13669	1952
875	13682	1936
876	13695	1920
877	13707	1904
878	13719	1888
879	13732	1872
880	13744	1856
881	13756	1840
882	13769	1824
883	13782	1808
884	13794	1792
885	13807	1776
886	13819	1760
887	13832	1744
888	13845	1728
889	13856	1712
890	13869	1696
891	13881	1680
892	13894	1664
893	13907	1648
894	13918	1632
895	13932	1617
896	13945	1601
897	13957	1585
898	13970	1569
899	13984	1553
900	13996	1537
901	14012	1522
902	14025	1506
903	14040	1491
904	14053	1475
905	14068	1459
906	14081	1443
907	14094	1428
908	14112	1412
909	14125	1397
910	14141	1381
911	14155	1365
912	14173	1350
913	14187	1334
914	14204	1319
915	14218	1303
916	14237	1288
917	14251	1272
918	14270	1257
919	14291	1242
920	14311	1227
921	14325	1211
922	14339	1196
923	14351	1180
924	14365	1164
925	14380	1149
926	14394	1133
927	14407	1117
928	14418	1101
929	14432	1086
930	14447	1070
931	14461	1055
932	14476	1039
933	14488	1023
934	14502	1008
935	14515	992
936	14530	976
937	14545	961
938	14559	945
939	14574	930
940	14587	914
941	14601	899
942	14615	883
943	14629	867
944	14643	852
945	14656	836
946	14670	821
947	14681	805
948	14696	789
949	14708	774
950	14720	758
951	14735	742
952	14748	727
953	14762	711
954	14775	696
955	14788	680
956	14803	665
957	14817	649
958	14835	634
959	14849	618
960	14864	603
961	14876	587
962	14889	572
963	14903	556
964	14916	541
965	14931	525
966	14943	509
967	14956	494
968	14970	478
969	14984	463
970	14999	447
971	15012	432
972	15025	416
973	15040	401
974	15054	386
975	15068	370
976	15080	355
977	15094	339
978	15107	324
979	15119	308
980	15132	293
981	15143	277
982	15160	262
983	15172	246
984	15185	231
985	15203	215
986	15218	200
987	15235	185
988	15248	169
989	15265	154
990	15278	138
991	15292	123
992	15304	107
993	15316	92
994	15332	77
995	15342	61
996	15359	46
997	15374	30
998	15391	15
999	15404	0
